url,arquivo,bytes,variante,status
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/4df3b683-a2d2-4113-b6ee-deacbb9d5d35/Untitled_1.1.1.jpg,092_Untitled_1.1.1.jpg,579618,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/50cbbef6-0069-4c03-a292-3960af0ac940/XALALA+09.PNG,093_XALALA 09.PNG,2388327,format=original,ok
"https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/50cbbef6-0069-4c03-a292-3960af0ac940/XALALA+09.PNG"",",094_XALALA 09.PNG__,2388327,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/52415dfe-4889-4e39-aa22-da7ee84d3f55/Untitled_1.9.2.T.jpg,095_Untitled_1.9.2.T.jpg,152952,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/52c3f321-d684-4468-845b-dacca04ae686/GER08612-Enhanced-Edit-2.jpg,096_GER08612-Enhanced-Edit-2.jpg,566059,format=original,ok
"https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/52c3f321-d684-4468-845b-dacca04ae686/GER08612-Enhanced-Edit-2.jpg"",",097_GER08612-Enhanced-Edit-2.jpg__,566059,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/531362bb-9c83-4751-a06c-16b469349de1/cafe_2.5.jpg,098_cafe_2.5.jpg,319124,format=original,ok
"https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/531362bb-9c83-4751-a06c-16b469349de1/cafe_2.5.jpg"",",099_cafe_2.5.jpg__,319124,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/5335a8a9-f26f-4278-b4f8-7a8a186ef5fa/Untitled_1.5.1.T.jpg,100_Untitled_1.5.1.T.jpg,272922,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/53957b73-edc7-4473-bfa0-a9bb6e6ff817/Still+2025-06-18+180516_1.23.2.PRE.jpg,101_Still 2025-06-18 180516_1.23.2.PRE.jpg,330216,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/55247733-033b-4319-bb4f-cf780b425fcc/Untitled_1.10.2.T.jpg,102_Untitled_1.10.2.T.jpg,245706,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/552d8255-6234-4adf-894a-5e264648c8b5/Horizontal+White%403x.png,103_Horizontal White_3x.png,267982,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/5b058b00-894b-4cbd-b8f1-63ca95e4a39c/Untitled2_1.1.1.jpg,104_Untitled2_1.1.1.jpg,425894,format=original,ok
"https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/5b058b00-894b-4cbd-b8f1-63ca95e4a39c/Untitled2_1.1.1.jpg"",",105_Untitled2_1.1.1.jpg__,425894,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/5c4e0112-700b-4629-a029-a6e9d9f58943/Untitled_1.44.2.jpg,106_Untitled_1.44.2.jpg,362599,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/5da80414-bda6-4bb7-a66b-2c0fb370f135/Untitled_1.15.1.T.jpg,107_Untitled_1.15.1.T.jpg,361377,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/5f7f1d61-52e3-472c-89a1-60285215e021/Untitled_1.11.1.T.jpg,108_Untitled_1.11.1.T.jpg,254117,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/6025a7a5-bc14-4ef7-a47b-b89667577a51/Untitled_1.83.1.jpg,109_Untitled_1.83.1.jpg,647409,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/61260cf2-1811-4035-ade3-28df878a112a/Untitled_1.10.1.T.jpg,110_Untitled_1.10.1.T.jpg,391976,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/64972924-bec6-42df-b688-dec51cf31c42/Capa-1140x683.jpg,111_Capa-1140x683.jpg,612598,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/696e8232-5a2c-4928-bdd9-a4eb2f7c0a81/Still+2025-06-18+180516_1.3.2.PRE.jpg,112_Still 2025-06-18 180516_1.3.2.PRE.jpg,541975,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/6980b2bb-3f5a-49cf-9048-3307de57953f/Screenshot+2025-07-16+at+13.55.15.png,113_Screenshot 2025-07-16 at 13.55.15.png,68507,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/6adfdf90-8471-4f94-8092-e5d83ead6166/Untitled_1.21.2.jpg,114_Untitled_1.21.2.jpg,417051,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/6b93c855-1b0b-4b84-a5d8-f2acc8d178bc/Still+2025-06-18+180516_1.27.2.PRE.jpg,115_Still 2025-06-18 180516_1.27.2.PRE.jpg,571214,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/6ee025e4-44e3-4576-bbf8-11d244fb19f1/Untitled_1.4.3.T.jpg,116_Untitled_1.4.3.T.jpg,155307,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/6efd851f-9180-41aa-8a88-3ebd58503914/Untitled_1.7.2.jpg,117_Untitled_1.7.2.jpg,347468,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/71f552dc-b82c-4008-b21f-82b3bd7e591a/Untitled_1.65.1.jpg,118_Untitled_1.65.1.jpg,828985,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/7472b2fb-fdd7-4eaf-af15-8ed39c9c0078/Untitled_1.66.1.jpg,119_Untitled_1.66.1.jpg,787310,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/7612bf1e-30ce-4888-b918-19558f69163a/Untitled_1.33.2.jpg,120_Untitled_1.33.2.jpg,457264,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/76ebb360-c2a8-4d45-b3ea-cf456c8fa0d4/1.5.1_1.5.1-min.png,121_1.5.1_1.5.1-min.png,1920912,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/7aac20ff-424e-4f82-a9f7-3445bcd45391/Still+2025-06-18+180516_1.20.2.PRE.jpg,122_Still 2025-06-18 180516_1.20.2.PRE.jpg,518969,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/7c0868b7-819d-430c-a5d2-b6eb71223eaa/Untitled_1.31.2.jpg,123_Untitled_1.31.2.jpg,373021,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/7d2a8d5d-edb1-4a5b-acbd-62ba6e251549/Untitled_1.23.1.T.jpg,124_Untitled_1.23.1.T.jpg,568675,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/7ef8864c-7934-4971-bf5d-a96ad42bff70/Untitled_1.1.1.T.jpg,125_Untitled_1.1.1.T.jpg,479344,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/81351559-4916-46da-b30f-64c261db8dc9/metagenics_1.1.1.png,126_metagenics_1.1.1.png,879310,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/8141e8cf-fa37-45d0-ade7-5d69ee57a179/unisc_1.1.jpg,127_unisc_1.1.jpg,351631,format=original,ok
"https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/8141e8cf-fa37-45d0-ade7-5d69ee57a179/unisc_1.1.jpg"",",128_unisc_1.1.jpg__,351631,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/82807987-a839-4f87-bf63-c8cbe86f0644/cafe_2.18.1.jpg,129_cafe_2.18.1.jpg,169268,format=original,ok
"https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/82807987-a839-4f87-bf63-c8cbe86f0644/cafe_2.18.1.jpg"",",130_cafe_2.18.1.jpg__,169268,format=original,ok
https://images.squarespace-cdn.com/content/v1/627132feb555fb16cce33d60/853c5d26-3894-44c1-9da5-1133808ccbe5/Screenshot+2024-08-22+at+15.50.13.png,131_Screenshot 2024-08-22 at 15.50.13.png,21819,format=original,ok
